[Wed Aug 19 02:28:09.689742 2015] [core:error] [pid 3556:tid 988] (20024)The given path is misformatted or contained invalid characters: [client 127.0.0.1:57900] AH00127: Cannot map GET /public/signature/_<div style= HTTP/1.0 to file
[Wed Aug 19 03:09:12.421350 2015] [core:error] [pid 3556:tid 976] (20024)The given path is misformatted or contained invalid characters: [client 127.0.0.1:60239] AH00127: Cannot map GET /public/signature/_<div style= HTTP/1.0 to file
[Wed Aug 19 03:12:31.439066 2015] [core:error] [pid 3556:tid 980] (20024)The given path is misformatted or contained invalid characters: [client 127.0.0.1:60414] AH00127: Cannot map GET /public/signature/_<div style= HTTP/1.0 to file
[Wed Aug 19 03:17:33.727957 2015] [core:error] [pid 3556:tid 996] (20024)The given path is misformatted or contained invalid characters: [client 127.0.0.1:60725] AH00127: Cannot map GET /public/signature/%3Cdiv%20style= HTTP/1.1 to file, referer: http://docusign.local/eform/load_pdf/18
[Wed Aug 19 08:02:36.773281 2015] [authz_core:error] [pid 3556:tid 988] [client 127.0.0.1:61440] AH01630: client denied by server configuration: C:/Apache24, referer: http://docusign.local/public/documents/
[Wed Aug 19 08:02:36.773781 2015] [authz_core:error] [pid 3556:tid 980] [client 127.0.0.1:61441] AH01630: client denied by server configuration: C:/Apache24, referer: http://docusign.local/public/documents/
[Wed Aug 19 08:02:36.773781 2015] [authz_core:error] [pid 3556:tid 976] [client 127.0.0.1:61442] AH01630: client denied by server configuration: C:/Apache24, referer: http://docusign.local/public/documents/
[Wed Aug 19 08:02:36.773781 2015] [authz_core:error] [pid 3556:tid 992] [client 127.0.0.1:61443] AH01630: client denied by server configuration: C:/Apache24, referer: http://docusign.local/public/documents/
[Sat Aug 22 18:53:28.336377 2015] [core:error] [pid 3556:tid 988] (20024)The given path is misformatted or contained invalid characters: [client 127.0.0.1:55349] AH00127: Cannot map GET /assets/themes/default/img/form_image/1.png;%3E HTTP/1.1 to file, referer: http://docusign.local/eform/load/22
[Sat Aug 22 18:53:28.791483 2015] [core:error] [pid 3556:tid 988] (20024)The given path is misformatted or contained invalid characters: [client 127.0.0.1:55349] AH00127: Cannot map GET /assets/themes/default/img/form_image/1.png;%3E HTTP/1.1 to file, referer: http://docusign.local/eform/load/22
[Mon Aug 24 00:39:12.893014 2015] [authz_core:error] [pid 3556:tid 964] [client 127.0.0.1:57182] AH01630: client denied by server configuration: C:/Apache24, referer: http://docusign.local/assets/themes/default/img/
[Mon Aug 24 00:39:12.894017 2015] [authz_core:error] [pid 3556:tid 992] [client 127.0.0.1:57183] AH01630: client denied by server configuration: C:/Apache24, referer: http://docusign.local/assets/themes/default/img/
[Mon Aug 24 00:39:12.894017 2015] [authz_core:error] [pid 3556:tid 996] [client 127.0.0.1:57181] AH01630: client denied by server configuration: C:/Apache24, referer: http://docusign.local/assets/themes/default/img/
[Mon Aug 24 00:39:12.893014 2015] [authz_core:error] [pid 3556:tid 988] [client 127.0.0.1:57180] AH01630: client denied by server configuration: C:/Apache24, referer: http://docusign.local/assets/themes/default/img/
